FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,CarbohydrateAmount_g,CholesterolAmount_mg,DietaryFibreAmount_g,EnergyAmount_kcal,GlycemicIndexAmount,ProteinAmount_g,SugarAmount_g,MonounsaturatedFatAmount_g,PolyunsaturatedFatAmount_g,SaturatedFatAmount_g,TotalFatAmount_g,Vegan,Vegetarian,Halal,ContainsBeef
"Artificial sweetener, saccharin",MISCELLANEOUS,Others,Piece (.09g),0.0,0.0,0.01,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False
"Arugula, raw",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",Cup (20g),0.41,0.0,0.32,5.0,,0.52,0.41,0.01,0.06,0.02,0.13,True,True,True,False
"Asparagus, canned, solid and liquid",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Stalk (10g),0.22,0.0,0.21,1.41,,0.18,0.22,0.0,0.01,0.0,0.02,True,True,True,False
"Asparagus, fresh, raw",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Stick (9.8g),0.14,0.0,0.23,2.09,,0.25,0.14,0.0,0.0,0.0,0.01,True,True,True,False
Assam buoy,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Teaspoon (3g),1.27,0.0,0.11,5.31,,0.03,2.0,0.0,0.0,0.0,0.01,True,True,True,False
Assam chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (87.35g),0.26,83.86,0.7,191.3,,28.04,0.09,3.89,1.16,3.21,8.74,True,True,True,False
Assam fish,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (183.6g),2.2,66.1,2.02,134.03,,22.58,2.2,1.03,0.2,2.33,4.04,True,True,True,False
Assam petai (Malay),"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (131g),4.32,23.97,6.97,111.35,,8.25,4.32,1.7,2.44,2.28,6.68,True,True,True,False
Assam powder,MISCELLANEOUS,Others,Tablespoon (15g),8.76,0.0,0.47,35.7,,0.14,8.75,0.0,0.0,0.0,0.0,True,True,True,False
"Athirasam, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (55g),36.14,0.0,0.83,238.15,,1.98,20.19,3.85,0.96,4.28,9.52,True,True,True,False
"Avocado juice, with added milk","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Glass (250ml) (250g),7.75,0.0,2.5,127.5,,2.75,7.75,6.2,0.9,2.48,9.5,True,True,True,False
"Avocados, raw, all commercial varieties",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (272g),23.2,0.0,18.22,435.2,,5.44,1.8,26.65,4.94,5.78,39.88,True,True,True,False
Ayam buah keluak,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (662g),23.83,377.34,3.97,900.32,,66.86,,19.86,17.21,19.2,59.58,True,True,True,False
Ayam kurmah,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (519g),38.93,67.47,10.38,877.11,,29.06,13.49,17.49,9.71,35.34,66.95,True,True,True,False
Ayam masak lemak cili padi,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (230g),1.77,87.81,1.52,362.02,,22.56,0.99,8.44,3.4,15.96,29.42,True,True,True,False
Ayam masak merah,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (111.6g),3.68,43.52,4.02,137.27,,11.72,3.12,3.65,2.08,2.18,8.37,True,True,True,False
Ayam panggang,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (170.82g),1.32,195.21,2.94,392.89,,34.69,1.14,11.92,4.0,10.2,27.66,True,True,True,False
Ayam penyet with rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (499g),77.2,120.46,4.44,935.63,,84.28,12.72,12.18,5.04,11.43,32.48,True,True,True,False
Ayam sioh,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (385g),21.56,223.3,7.32,616.0,,55.44,21.56,16.17,4.62,11.17,34.27,True,True,True,False
Ayam tempra,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (137.98g),3.34,127.13,2.58,268.37,,22.5,2.91,8.58,3.26,5.49,18.34,True,True,True,False
"BBQ Turkey Bacon Double Cheeseburger, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Whole (221g),38.87,90.61,2.87,623.22,,35.36,10.23,11.99,1.49,13.54,35.05,True,True,True,False
